"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A550","2020-02-08 00:00:00","422.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0G830","2020-02-08 00:00:00","27.000","4.000","4.800","15.500","0.890","1017.100","","0.000","-99.000","-99.000","-99.000","21.200","","14.700",""
"C0E810","2020-02-08 00:00:00","53.000","20.000","5.000","14.600","0.890","1017.600","","2.500","-99.000","-99.000","-99.000","16.300","","13.100",""
"C0R640","2020-02-08 00:00:00","21.000","1.000","1.300","17.600","0.890","1019.200","","0.000","-99.000","-99.000","-99.000","26.500","","17.000",""
"C0D580","2020-02-08 00:00:00","120.000","0.000","0.000","14.400","0.920","1010.100","","3.500","-99.000","-99.000","-99.000","16.500","","13.300",""
"C0M660","2020-02-08 00:00:00","40.000","18.000","3.500","15.500","0.840","1017.800","","0.000","-99.000","-99.000","-99.000","22.600","","15.200",""
"C0K330","2020-02-08 00:00:00","38.000","358.000","1.500","15.100","0.880","1017.200","","0.000","-99.000","-99.000","-99.000","23.000","","14.900",""
"C0E830","2020-02-08 00:00:00","37.000","25.000","5.200","16.100","0.800","1018.300","","0.000","11.100","27.000","","18.600","","14.300",""
"C0X290","2020-02-08 00:00:00","10.000","26.000","7.500","16.400","0.840","1020.600","","0.000","-99.000","-99.000","-99.000","21.700","","15.700",""
"C0U760","2020-02-08 00:00:00","22.000","295.000","2.000","16.400","0.820","1023.300","","0.500","-99.000","-99.000","-99.000","22.400","","15.200",""
"C0U780","2020-02-08 00:00:00","15.000","337.000","1.600","16.500","0.880","1023.800","","0.000","-99.000","-99.000","-99.000","22.300","","16.000",""
"C0H9C0","2020-02-08 00:00:00","3402.000","311.000","1.500","0.000","0.970","677.100","","5.500","-99.000","-99.000","-99.000","1.900","","-1.500",""
"C0V650","2020-02-08 00:00:00","28.000","12.000","4.300","15.800","0.860","1020.000","","0.000","-99.000","-99.000","-99.000","24.200","","15.800",""
"C0R720","2020-02-08 00:00:00","214.000","8.000","8.900","18.900","0.960","996.600","","30.500","-99.000","-99.000","-99.000","26.300","","18.900",""
"C0K470","2020-02-08 00:00:00","97.000","0.000","0.000","14.500","0.990","1010.300","","0.000","-99.000","-99.000","-99.000","24.000","","13.500",""
"C0T9N0","2020-02-08 00:00:00","261.000","38.000","1.200","16.600","0.990","993.200","","0.000","-99.000","-99.000","-99.000","25.600","","13.400",""
"CM0180","2020-02-08 00:00:00","313.000","0.000","0.100","17.900","0.860","985.100","","0.000","-99.000","-99.000","-99.000","27.900","","14.500",""
"C0Z070","2020-02-08 00:00:00","247.000","355.000","2.700","15.700","0.990","994.400","","0.500","-99.000","-99.000","-99.000","25.300","","13.600",""
"C0Z280","2020-02-08 00:00:00","224.000","320.000","0.500","16.800","0.990","998.800","","0.000","-99.000","-99.000","-99.000","25.000","","14.400",""
"C0SA40","2020-02-08 00:00:00","200.000","344.000","0.400","17.600","0.960","1000.200","","4.500","-99.000","-99.000","-99.000","26.500","","13.400",""
"C0V440","2020-02-08 00:00:00","27.000","314.000","2.800","15.900","0.830","1017.500","","0.000","-99.000","-99.000","-99.000","25.400","","15.900",""
"C0R490","2020-02-08 00:00:00","49.000","292.000","1.200","17.000","0.890","1014.500","","0.000","-99.000","-99.000","-99.000","26.000","","16.500",""
"C0B010","2020-02-08 00:00:00","38.000","143.000","0.500","15.200","0.920","1018.600","","2.000","-99.000","-99.000","-99.000","18.600","","15.200",""
"C0X230","2020-02-08 00:00:00","29.000","7.000","3.600","14.900","0.860","1019.800","","0.000","-99.000","-99.000","-99.000","23.500","","14.900",""
"C0S770","2020-02-08 00:00:00","375.000","85.000","0.900","17.100","0.940","979.000","","5.500","-99.000","-99.000","-99.000","22.700","","15.400",""
"C0H890","2020-02-08 00:00:00","440.000","209.000","0.300","14.800","0.930","969.700","","0.000","-99.000","-99.000","-99.000","24.200","","14.800",""
"C0K480","2020-02-08 00:00:00","56.000","8.000","1.900","14.700","0.990","1015.100","","0.000","-99.000","-99.000","-99.000","22.100","","14.700",""
"C0R540","2020-02-08 00:00:00","17.000","357.000","1.500","18.800","0.850","1018.600","","0.000","-99.000","-99.000","-99.000","27.200","","16.400",""
"C0Z160","2020-02-08 00:00:00","124.000","312.000","0.500","16.600","0.950","1010.000","","2.000","-99.000","-99.000","-99.000","24.500","","14.100",""
"C0AH50","2020-02-08 00:00:00","275.000","3.000","3.100","-99.000","-99.000","992.600","","5.500","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0F850","2020-02-08 00:00:00","379.000","74.000","0.400","13.800","0.910","977.900","","0.000","-99.000","-99.000","-99.000","22.500","","13.800",""
"C0G800","2020-02-08 00:00:00","15.000","31.000","5.900","15.900","0.860","1020.100","","0.000","12.200","40.000","","20.700","","14.500",""
"C0U890","2020-02-08 00:00:00","116.000","0.000","0.000","15.600","0.990","1012.600","","0.000","-99.000","-99.000","-99.000","22.000","","15.500",""
"C0F860","2020-02-08 00:00:00","2215.000","215.000","1.400","8.300","0.870","784.500","","0.000","-99.000","-99.000","-99.000","12.700","","7.200",""
